threshold,accuracy,recall,precision,f1,roc_auc,pr_auc,tn_fp_fn_tp
0.1,0.47809187279151943,0.8123893805309734,0.25081967213114753,0.3832985386221294,0.7047764168082986,0.41724191489797086,"[894, 1371, 106, 459]"
0.11,0.5017667844522968,0.7929203539823009,0.257323377369328,0.388551604509974,0.7047764168082986,0.41724191489797086,"[972, 1293, 117, 448]"
0.12,0.5201413427561837,0.7858407079646018,0.264128494943486,0.39536954585930545,0.7047764168082986,0.41724191489797086,"[1028, 1237, 121, 444]"
0.13,0.5438162544169611,0.7734513274336283,0.273125,0.40369515011547347,0.7047764168082986,0.41724191489797086,"[1102, 1163, 128, 437]"
0.14,0.56113074204947,0.7592920353982301,0.27947882736156354,0.4085714285714286,0.7047764168082986,0.41724191489797086,"[1159, 1106, 136, 429]"
0.15,0.5770318021201414,0.7415929203539823,0.28503401360544217,0.4117936117936118,0.7047764168082986,0.41724191489797086,"[1214, 1051, 146, 419]"
0.16,0.5908127208480566,0.7256637168141593,0.29016277423920733,0.41456016177957533,0.7047764168082986,0.41724191489797086,"[1262, 1003, 155, 410]"
0.17,0.6060070671378092,0.7008849557522124,0.29508196721311475,0.4153120083901416,0.7047764168082986,0.41724191489797086,"[1319, 946, 169, 396]"
0.18,0.6197879858657244,0.6831858407079646,0.3008573655494934,0.41774891774891776,0.7047764168082986,0.41724191489797086,"[1368, 897, 179, 386]"
0.19,0.6325088339222615,0.6637168141592921,0.30612244897959184,0.41899441340782123,0.7047764168082986,0.41724191489797086,"[1415, 850, 190, 375]"
0.2,0.6420494699646643,0.6424778761061947,0.3091993185689949,0.41748131109833236,0.7047764168082986,0.41724191489797086,"[1454, 811, 202, 363]"
0.21,0.6522968197879858,0.6283185840707964,0.31443755535872453,0.41912632821723733,0.7047764168082986,0.41724191489797086,"[1491, 774, 210, 355]"
0.22,0.6646643109540636,0.6159292035398231,0.32222222222222224,0.4231003039513678,0.7047764168082986,0.41724191489797086,"[1533, 732, 217, 348]"
0.23,0.6784452296819788,0.6017699115044248,0.33170731707317075,0.4276729559748428,0.7047764168082986,0.41724191489797086,"[1580, 685, 225, 340]"
0.24,0.6886925795053004,0.5893805309734513,0.3391038696537678,0.4305106658047835,0.7047764168082986,0.41724191489797086,"[1616, 649, 232, 333]"
0.25,0.6989399293286219,0.5699115044247788,0.3458646616541353,0.4304812834224599,0.7047764168082986,0.41724191489797086,"[1656, 609, 243, 322]"
0.26,0.707773851590106,0.5575221238938053,0.3531390134529148,0.43239533287577214,0.7047764168082986,0.41724191489797086,"[1688, 577, 250, 315]"
0.27,0.7173144876325088,0.5415929203539823,0.3612750885478158,0.43342776203966005,0.7047764168082986,0.41724191489797086,"[1724, 541, 259, 306]"
0.28,0.7226148409893993,0.5274336283185841,0.36519607843137253,0.43157132512671975,0.7047764168082986,0.41724191489797086,"[1747, 518, 267, 298]"
0.29,0.7307420494699647,0.5150442477876106,0.3735558408215661,0.4330357142857143,0.7047764168082986,0.41724191489797086,"[1777, 488, 274, 291]"
0.3,0.7385159010600707,0.504424778761062,0.3825503355704698,0.4351145038167939,0.7047764168082986,0.41724191489797086,"[1805, 460, 280, 285]"
0.31,0.7469964664310954,0.49557522123893805,0.39381153305203936,0.438871473354232,0.7047764168082986,0.41724191489797086,"[1834, 431, 285, 280]"
0.32,0.7537102473498233,0.4849557522123894,0.40294117647058825,0.44016064257028115,0.7047764168082986,0.41724191489797086,"[1859, 406, 291, 274]"
0.33,0.7597173144876325,0.4778761061946903,0.4122137404580153,0.4426229508196721,0.7047764168082986,0.41724191489797086,"[1880, 385, 295, 270]"
0.34,0.7625441696113074,0.4584070796460177,0.4144,0.43529411764705883,0.7047764168082986,0.41724191489797086,"[1899, 366, 306, 259]"
