threshold,accuracy,recall,precision,f1,roc_auc,pr_auc,tn_fp_fn_tp
0.1,0.784452296819788,0.8672566371681416,0.47804878048780486,0.6163522012578616,0.9079274844204809,0.8769002420540045,"[1730, 535, 75, 490]"
0.11,0.8014134275618374,0.863716814159292,0.5015416238437821,0.6345903771131339,0.9079274844204809,0.8769002420540045,"[1780, 485, 77, 488]"
0.12,0.8173144876325088,0.8619469026548673,0.5259179265658748,0.653252850435949,0.9079274844204809,0.8769002420540045,"[1826, 439, 78, 487]"
0.13,0.8303886925795053,0.8619469026548673,0.547806524184477,0.6698762035763411,0.9079274844204809,0.8769002420540045,"[1863, 402, 78, 487]"
0.14,0.8406360424028269,0.8619469026548673,0.5662790697674419,0.6835087719298245,0.9079274844204809,0.8769002420540045,"[1892, 373, 78, 487]"
0.15,0.8533568904593639,0.8601769911504424,0.5912408759124088,0.7007930785868781,0.9079274844204809,0.8769002420540045,"[1929, 336, 79, 486]"
0.16,0.8625441696113074,0.8584070796460177,0.610831234256927,0.7137601177336277,0.9079274844204809,0.8769002420540045,"[1956, 309, 80, 485]"
0.17,0.8696113074204948,0.8548672566371681,0.6272727272727273,0.7235955056179775,0.9079274844204809,0.8769002420540045,"[1978, 287, 82, 483]"
0.18,0.8773851590106007,0.8530973451327434,0.646112600536193,0.7353165522501907,0.9079274844204809,0.8769002420540045,"[2001, 264, 83, 482]"
0.19,0.8802120141342756,0.8495575221238938,0.6539509536784741,0.7390300230946882,0.9079274844204809,0.8769002420540045,"[2011, 254, 85, 480]"
0.2,0.8886925795053003,0.8495575221238938,0.676056338028169,0.7529411764705882,0.9079274844204809,0.8769002420540045,"[2035, 230, 85, 480]"
0.21,0.8939929328621908,0.8495575221238938,0.6906474820143885,0.7619047619047619,0.9079274844204809,0.8769002420540045,"[2050, 215, 85, 480]"
0.22,0.8989399293286219,0.8442477876106195,0.7066666666666667,0.7693548387096775,0.9079274844204809,0.8769002420540045,"[2067, 198, 88, 477]"
0.23,0.903886925795053,0.8442477876106195,0.7216338880484114,0.7781402936378466,0.9079274844204809,0.8769002420540045,"[2081, 184, 88, 477]"
0.24,0.9091872791519434,0.8424778761061947,0.7391304347826086,0.7874276261373035,0.9079274844204809,0.8769002420540045,"[2097, 168, 89, 476]"
0.25,0.9148409893992933,0.8424778761061947,0.7579617834394905,0.7979882648784576,0.9079274844204809,0.8769002420540045,"[2113, 152, 89, 476]"
0.26,0.9176678445229682,0.8389380530973451,0.7694805194805194,0.8027095681625741,0.9079274844204809,0.8769002420540045,"[2123, 142, 91, 474]"
0.27,0.9194346289752651,0.8389380530973451,0.7757774140752864,0.8061224489795918,0.9079274844204809,0.8769002420540045,"[2128, 137, 91, 474]"
0.28,0.9243816254416961,0.8389380530973451,0.7939698492462312,0.8158347676419966,0.9079274844204809,0.8769002420540045,"[2142, 123, 91, 474]"
0.29,0.9254416961130743,0.8371681415929203,0.7989864864864865,0.8176318063958513,0.9079274844204809,0.8769002420540045,"[2146, 119, 92, 473]"
0.3,0.9268551236749116,0.8336283185840708,0.8065068493150684,0.8198433420365535,0.9079274844204809,0.8769002420540045,"[2152, 113, 94, 471]"
0.31,0.9286219081272085,0.8336283185840708,0.8134715025906736,0.8234265734265734,0.9079274844204809,0.8769002420540045,"[2157, 108, 94, 471]"
0.32,0.9318021201413428,0.8336283185840708,0.8263157894736842,0.8299559471365638,0.9079274844204809,0.8769002420540045,"[2166, 99, 94, 471]"
0.33,0.9328621908127208,0.831858407079646,0.831858407079646,0.831858407079646,0.9079274844204809,0.8769002420540045,"[2170, 95, 95, 470]"
0.34,0.9346289752650176,0.831858407079646,0.8392857142857143,0.8355555555555556,0.9079274844204809,0.8769002420540045,"[2175, 90, 95, 470]"
0.35,0.9353356890459364,0.8283185840707965,0.8447653429602888,0.8364611260053619,0.9079274844204809,0.8769002420540045,"[2179, 86, 97, 468]"
0.36,0.9381625441696113,0.8283185840707965,0.8571428571428571,0.8424842484248425,0.9079274844204809,0.8769002420540045,"[2187, 78, 97, 468]"
0.37,0.9385159010600707,0.8247787610619469,0.8613678373382625,0.8426763110307414,0.9079274844204809,0.8769002420540045,"[2190, 75, 99, 466]"
0.38,0.9381625441696113,0.8176991150442477,0.8651685393258427,0.8407643312101911,0.9079274844204809,0.8769002420540045,"[2193, 72, 103, 462]"
0.39,0.9385159010600707,0.8141592920353983,0.8695652173913043,0.8409506398537477,0.9079274844204809,0.8769002420540045,"[2196, 69, 105, 460]"
0.4,0.9402826855123675,0.8141592920353983,0.8778625954198473,0.8448117539026629,0.9079274844204809,0.8769002420540045,"[2201, 64, 105, 460]"
0.41,0.9413427561837456,0.8141592920353983,0.8829174664107485,0.8471454880294659,0.9079274844204809,0.8769002420540045,"[2204, 61, 105, 460]"
0.42,0.942756183745583,0.8141592920353983,0.8897485493230174,0.8502772643253235,0.9079274844204809,0.8769002420540045,"[2208, 57, 105, 460]"
0.43,0.942756183745583,0.8106194690265487,0.8927875243664717,0.849721706864564,0.9079274844204809,0.8769002420540045,"[2210, 55, 107, 458]"
0.44,0.9431095406360424,0.8070796460176991,0.8976377952755905,0.8499534016775396,0.9079274844204809,0.8769002420540045,"[2213, 52, 109, 456]"
0.45,0.9431095406360424,0.8070796460176991,0.8976377952755905,0.8499534016775396,0.9079274844204809,0.8769002420540045,"[2213, 52, 109, 456]"
0.46,0.9438162544169612,0.8053097345132744,0.9027777777777778,0.8512628624883068,0.9079274844204809,0.8769002420540045,"[2216, 49, 110, 455]"
0.47,0.9441696113074205,0.8053097345132744,0.904572564612326,0.8520599250936329,0.9079274844204809,0.8769002420540045,"[2217, 48, 110, 455]"
0.48,0.9448763250883392,0.8053097345132744,0.908183632734531,0.8536585365853658,0.9079274844204809,0.8769002420540045,"[2219, 46, 110, 455]"
0.49,0.9452296819787986,0.8035398230088495,0.9116465863453815,0.8541862652869238,0.9079274844204809,0.8769002420540045,"[2221, 44, 111, 454]"
0.5,0.9448763250883392,0.8,0.9131313131313131,0.8528301886792453,0.9079274844204809,0.8769002420540045,"[2222, 43, 113, 452]"
0.51,0.9452296819787986,0.7982300884955752,0.9166666666666666,0.8533585619678334,0.9079274844204809,0.8769002420540045,"[2224, 41, 114, 451]"
0.52,0.9431095406360424,0.7858407079646018,0.9173553719008265,0.8465204957102002,0.9079274844204809,0.8769002420540045,"[2225, 40, 121, 444]"
0.53,0.9434628975265018,0.7769911504424779,0.9281183932346723,0.8458574181117534,0.9079274844204809,0.8769002420540045,"[2231, 34, 126, 439]"
0.54,0.942756183745583,0.7716814159292036,0.929637526652452,0.8433268858800773,0.9079274844204809,0.8769002420540045,"[2232, 33, 129, 436]"
0.55,0.9424028268551237,0.7663716814159292,0.9331896551724138,0.8415937803692906,0.9079274844204809,0.8769002420540045,"[2234, 31, 132, 433]"
0.56,0.941696113074205,0.7610619469026548,0.9347826086956522,0.8390243902439024,0.9079274844204809,0.8769002420540045,"[2235, 30, 135, 430]"
0.57,0.9409893992932862,0.7575221238938054,0.9344978165938864,0.8367546432062561,0.9079274844204809,0.8769002420540045,"[2235, 30, 137, 428]"
0.58,0.9409893992932862,0.7522123893805309,0.9402654867256637,0.8357915437561455,0.9079274844204809,0.8769002420540045,"[2238, 27, 140, 425]"
0.59,0.9406360424028268,0.7469026548672566,0.9440715883668904,0.83399209486166,0.9079274844204809,0.8769002420540045,"[2240, 25, 143, 422]"
0.6,0.9409893992932862,0.7451327433628319,0.9481981981981982,0.8344895936570862,0.9079274844204809,0.8769002420540045,"[2242, 23, 144, 421]"
0.61,0.9392226148409893,0.7345132743362832,0.9496567505720824,0.8283433133732535,0.9079274844204809,0.8769002420540045,"[2243, 22, 150, 415]"
0.62,0.93886925795053,0.7292035398230089,0.9537037037037037,0.8264794383149449,0.9079274844204809,0.8769002420540045,"[2245, 20, 153, 412]"
0.63,0.937809187279152,0.7185840707964601,0.9598108747044918,0.8218623481781376,0.9079274844204809,0.8769002420540045,"[2248, 17, 159, 406]"
0.64,0.9367491166077738,0.7132743362831858,0.9595238095238096,0.8182741116751269,0.9079274844204809,0.8769002420540045,"[2248, 17, 162, 403]"
0.65,0.9353356890459364,0.7061946902654868,0.9591346153846154,0.8134556574923547,0.9079274844204809,0.8769002420540045,"[2248, 17, 166, 399]"
0.66,0.934982332155477,0.7008849557522124,0.9635036496350365,0.8114754098360656,0.9079274844204809,0.8769002420540045,"[2250, 15, 169, 396]"
0.67,0.934982332155477,0.7008849557522124,0.9635036496350365,0.8114754098360656,0.9079274844204809,0.8769002420540045,"[2250, 15, 169, 396]"
0.68,0.9335689045936396,0.6938053097345133,0.9631449631449631,0.8065843621399177,0.9079274844204809,0.8769002420540045,"[2250, 15, 173, 392]"
0.69,0.9318021201413428,0.6831858407079646,0.965,0.8,0.9079274844204809,0.8769002420540045,"[2251, 14, 179, 386]"
0.7,0.930035335689046,0.6743362831858407,0.9645569620253165,0.79375,0.9079274844204809,0.8769002420540045,"[2251, 14, 184, 381]"
0.71,0.9286219081272085,0.6601769911504425,0.9738903394255874,0.7869198312236287,0.9079274844204809,0.8769002420540045,"[2255, 10, 192, 373]"
0.72,0.9265017667844523,0.6495575221238938,0.9734748010610079,0.7791932059447984,0.9079274844204809,0.8769002420540045,"[2255, 10, 198, 367]"
0.73,0.9254416961130743,0.6442477876106195,0.9732620320855615,0.7752928647497338,0.9079274844204809,0.8769002420540045,"[2255, 10, 201, 364]"
0.74,0.9236749116607774,0.6336283185840708,0.9754768392370572,0.7682403433476395,0.9079274844204809,0.8769002420540045,"[2256, 9, 207, 358]"
0.75,0.9219081272084806,0.6247787610619469,0.9751381215469613,0.761596548004315,0.9079274844204809,0.8769002420540045,"[2256, 9, 212, 353]"
0.76,0.9204946996466431,0.6176991150442478,0.9748603351955307,0.7562296858071506,0.9079274844204809,0.8769002420540045,"[2256, 9, 216, 349]"
0.77,0.9194346289752651,0.6123893805309735,0.9746478873239437,0.7521739130434782,0.9079274844204809,0.8769002420540045,"[2256, 9, 219, 346]"
0.78,0.9187279151943463,0.6088495575221239,0.9745042492917847,0.7494553376906318,0.9079274844204809,0.8769002420540045,"[2256, 9, 221, 344]"
0.79,0.9173144876325088,0.6,0.9769452449567724,0.743421052631579,0.9079274844204809,0.8769002420540045,"[2257, 8, 226, 339]"
0.8,0.9148409893992933,0.5858407079646017,0.9792899408284024,0.7331118493909191,0.9079274844204809,0.8769002420540045,"[2258, 7, 234, 331]"
0.81,0.9141342756183746,0.5823008849557522,0.9791666666666666,0.730299667036626,0.9079274844204809,0.8769002420540045,"[2258, 7, 236, 329]"
0.82,0.9088339222614841,0.5539823008849557,0.9811912225705329,0.7081447963800905,0.9079274844204809,0.8769002420540045,"[2259, 6, 252, 313]"
0.83,0.9081272084805654,0.5486725663716814,0.9841269841269841,0.7045454545454546,0.9079274844204809,0.8769002420540045,"[2260, 5, 255, 310]"
0.84,0.9053003533568904,0.5345132743362832,0.9837133550488599,0.6926605504587156,0.9079274844204809,0.8769002420540045,"[2260, 5, 263, 302]"
0.85,0.903886925795053,0.5238938053097345,0.9899665551839465,0.6851851851851852,0.9079274844204809,0.8769002420540045,"[2262, 3, 269, 296]"
0.86,0.9024734982332155,0.5168141592920354,0.9898305084745763,0.6790697674418604,0.9079274844204809,0.8769002420540045,"[2262, 3, 273, 292]"
0.87,0.9003533568904594,0.5061946902654867,0.9896193771626297,0.6697892271662763,0.9079274844204809,0.8769002420540045,"[2262, 3, 279, 286]"
0.88,0.8946996466431095,0.4778761061946903,0.989010989010989,0.6443914081145584,0.9079274844204809,0.8769002420540045,"[2262, 3, 295, 270]"
0.89,0.8911660777385159,0.4584070796460177,0.9923371647509579,0.6271186440677966,0.9079274844204809,0.8769002420540045,"[2263, 2, 306, 259]"
0.9,0.8897526501766785,0.4495575221238938,0.996078431372549,0.6195121951219512,0.9079274844204809,0.8769002420540045,"[2264, 1, 311, 254]"
