model,threshold,accuracy,recall,precision,f1,roc_auc,pr_auc,tn_fp_fn_tp
ET_Recall,0.14,0.5480225988700564,0.9432624113475178,0.298876404494382,0.4539249146757679,0.9265138154027043,0.8809258903111767,"[255, 312, 8, 133]"
RF_Accuracy,0.49,0.9491525423728814,0.8156028368794326,0.92,0.8646616541353384,0.9210914731009293,0.8968212395680191,"[557, 10, 26, 115]"
